id,name,workers,age,salary,url
NV,(株)パピレス,58 ,31.1 ,4635 ,http://www.papy.co.jp/info/index.php?page=/recruit.htm
NV,比較．ｃｏｍ(株),36 ,31.0 ,4190 ,http://www.hikaku.com/info/recruit/
SM,グリー(株),1204 ,31.2 ,7440 ,http://corp.gree.net/jp/ja/recruit/
SM,(株)ディー・エヌ・エー,1045 ,32.1 ,7186 ,http://dena.com/recruit/
SM,(株)ミクシィ,272 ,31.5 ,5759 ,http://mixi.co.jp/recruit/
MG,ＫＤＤＩ(株),10739 ,41.4 ,9397 ,http://www.kddi.com/corporate/recruit/
MG,任天堂(株),5213 ,36.8 ,8680 ,http://www.nintendo.co.jp/jobs/
MG,(株)ＮＴＴドコモ,10903 ,39.2 ,8160 ,https://www.nttdocomo.co.jp/corporate/recruit/
MG,コナミ(株),91 ,37.7 ,7320 ,http://www.konami.co.jp/job/
MG,ガンホー・オンライン・エンターテイメント(株),315 ,35.7 ,6520 ,http://www.gungho.co.jp/recruit/
MG,(株)コーエーテクモホールディングス,65 ,37.9 ,6290 ,http://www.koeitecmo.co.jp/recruit/
MG,(株)フェイス,123 ,37.5 ,6200 ,http://www.faith.co.jp/recruit/
MG,(株)コロプラ,340 ,30.2 ,6170 ,http://colopl.co.jp/recruit/
MG,(株)ｅｎｉｓｈ,154 ,32.0 ,5970 ,http://www.enish.jp/recruit
MG,(株)モブキャスト,115 ,34.6 ,5800 ,http://mobcast.co.jp/recruit/
MG,(株)ドリコム,227 ,31.7 ,5740 ,http://www.drecom.co.jp/recruit/
MG,(株)ユークス,189 ,33.6 ,5650 ,http://www.yukes.co.jp/recruit/
MG,(株)ガイアックス,96 ,31.7 ,5550 ,http://recruit.gaiax.co.jp/
MG,(株)カプコン,1951 ,35.8 ,5550 ,http://www.capcom.co.jp/recruit_renew/
MG,日本ファルコム(株),49 ,33.7 ,5240 ,http://www.falcom.co.jp/kaisya/recruit/
MG,クルーズ(株),469 ,30.9 ,5170 ,http://crooz.co.jp/recruit/
MG,(株)ネクソン,266 ,32.4 ,4990 ,http://recruit.nexon.co.jp/
MG,(株)ボルテージ,262 ,27.4 ,4840 ,http://www.voltage.co.jp/recruit/
MG,(株)ケイブ,134 ,34.8 ,4830 ,http://www.cave.co.jp/jobs/
MG,ＫＬａｂ(株),547 ,30.4 ,4790 ,http://www.klab.com/jp/recruit/
MG,(株)ザッパラス,182 ,31.5 ,4630 ,http://www.zappallas.com/recruit/
MG,サイバーステップ(株),117 ,27.7 ,4580 ,http://corp.cyberstep.com/recruit/
MG,(株)エイチーム,297 ,30.0 ,4550 ,http://www.a-tm.co.jp/recruit/
MG,(株)オルトプラス,148 ,29.7 ,4400 ,http://www.altplus.co.jp/recruitment
MG,(株)アエリア,29 ,36.0 ,4370 ,http://www.aeria.jp/jpn/recruit/
MG,(株)エイティング,223 ,33.2 ,4100 ,http://www.8ing.co.jp/recruit/
MG,(株)日本一ソフトウェア,100 ,30.8 ,3240 ,http://www.nippon1.co.jp/recruit/index.html
SE,(株)アイレップ,316 ,31.4 ,5040 ,http://www.irep.co.jp/recruit/
SE,(株)フルスピード,177 ,29.8 ,4850 ,http://www.fullspeed.co.jp/recruit/
SE,アウンコンサルティング(株),37 ,31.6 ,3615 ,http://www.aun-saiyou.jp/
OM,アイティメディア(株),175 ,36.9 ,6540 ,http://corp.itmedia.co.jp/corp/recruit/
OM,(株)イーブックイニシアティブジャパン,48 ,35.5 ,5520 ,https://corp.ebookjapan.jp/recruit/
OM,(株)オールアバウト,153 ,34.7 ,5220 ,http://corp.allabout.co.jp/recruit/
OM,(株)キャリアデザインセンター,312 ,28.8 ,4912 ,http://cdc.type.jp/recruit/
AF,バリューコマース(株),199 ,34.9 ,5920 ,http://www.valuecommerce.co.jp/recruitment/
AF,(株)ファンコミュニケーションズ,204 ,32.1 ,5390 ,http://www.fancs.com/saiyou/
AF,(株)インタースペース,234 ,30.8 ,5290 ,http://www.interspace.ne.jp/recruit/
AF,(株)アドウェイズ,380 ,30.6 ,5110 ,https://secure.adways.net/recruit/
